0.000000,1.000000,1.000000,0.025049,0.200002
0.000000,2.000000,1.000000,0.018465,1.000000
0.000000,3.000000,0.000426,0.994305,0.333333
0.000000,4.000000,0.154671,0.014830,0.329397
0.000000,5.000000,0.007223,0.095335,0.000003
0.000000,6.000000,0.784923,0.151226,0.264503
0.000000,7.000000,0.040611,0.276022,0.331446
0.000000,8.000000,0.033030,0.065523,0.400000
0.000000,9.000000,0.058034,0.259594,0.211958
0.000000,10.000000,0.144444,0.042431,1.000000
0.000000,11.000000,0.571470,0.188198,0.263862
0.000000,12.000000,0.003400,0.271357,0.000117
1.000000,1.000000,1.000000,0.006689,0.000004
1.000000,2.000000,0.179856,0.003973,0.999985
1.000000,3.000000,0.739257,0.006650,0.190326
1.000000,4.000000,1.000000,0.029395,0.000003
1.000000,5.000000,1.000000,0.002842,0.100084
1.000000,6.000000,0.388864,0.005401,0.986747
1.000000,7.000000,1.000000,0.002825,1.000000
1.000000,8.000000,0.019370,0.032827,0.000004
1.000000,9.000000,0.032440,0.109398,0.000004
1.000000,10.000000,1.000000,0.004360,0.000004
1.000000,11.000000,1.000000,0.001981,0.994339
1.000000,12.000000,1.000000,0.002180,0.999530
2.000000,1.000000,0.022046,0.046195,0.000004
2.000000,2.000000,0.275042,0.004268,0.980682
2.000000,3.000000,0.631473,0.005055,1.000000
2.000000,4.000000,0.732685,0.002217,1.000000
2.000000,5.000000,0.079236,0.046917,0.209237
2.000000,6.000000,0.192678,0.427495,0.500000
2.000000,7.000000,0.020248,0.041576,0.000004
2.000000,8.000000,0.032377,0.045391,0.000004
2.000000,9.000000,0.018501,0.064970,0.000004
2.000000,10.000000,0.029512,0.049037,0.000004
2.000000,11.000000,0.044509,0.050839,0.226540
2.000000,12.000000,0.046378,0.039188,0.000004
